   7.4315300e+00   7.3860437e+00   1.4578372e+01
   7.4402357e+00   1.2337704e+01   1.4578560e+01
   1.0299189e+01   7.3860437e+00   1.4578372e+01
   1.0290484e+01   1.2337704e+01   1.4578560e+01
   1.1724280e+01   9.8545302e+00   1.4578430e+01
   6.0064397e+00   9.8545302e+00   1.4578430e+01
   8.8653597e+00   9.8593373e+00   1.4592872e+01
   6.8603000e-01   3.9607961e-01   1.1202823e+00
   2.0580900e+00   2.7725572e+00   1.1202823e+00
   6.8603000e-01   3.5647164e+00   3.3608469e+00
   2.0580900e+00   1.1882388e+00   3.3608469e+00
   6.8603000e-01   1.9803980e+00   5.6014115e+00
   2.0580900e+00   4.3568757e+00   5.6014115e+00
   6.8603000e-01   3.9747224e-01   7.8438416e+00
   2.0577335e+00   2.7753052e+00   7.8453678e+00
   6.8603000e-01   3.5734184e+00   1.0092563e+01
   2.0581388e+00   1.1930060e+00   1.0089828e+01
   6.8603000e-01   1.9898018e+00   1.2371646e+01
   2.0639200e+00   4.3697228e+00   1.2375201e+01
   6.8603000e-01   5.1490349e+00   1.1202823e+00
   2.0580900e+00   7.5255125e+00   1.1202823e+00
   6.8603000e-01   8.3176717e+00   3.3608469e+00
   2.0580900e+00   5.9411941e+00   3.3608469e+00
   6.8603000e-01   6.7333533e+00   5.6014115e+00
   2.0580900e+00   9.1098309e+00   5.6014115e+00
   6.8603000e-01   5.1533484e+00   7.8475484e+00
   2.0581200e+00   7.5287892e+00   7.8495698e+00
   6.8603000e-01   8.3260572e+00   1.0096234e+01
   2.0618771e+00   5.9508219e+00   1.0097282e+01
   6.8603000e-01   6.7442636e+00   1.2377456e+01
   2.0700719e+00   9.1158868e+00   1.2380094e+01
   6.8603000e-01   9.9019901e+00   1.1202823e+00
   2.0580900e+00   1.2278468e+01   1.1202823e+00
   6.8603000e-01   1.3070627e+01   3.3608469e+00
   2.0580900e+00   1.0694149e+01   3.3608469e+00
   6.8603000e-01   1.1486309e+01   5.6014115e+00
   2.0580900e+00   1.3862786e+01   5.6014115e+00
   6.8603000e-01   9.9046773e+00   7.8455568e+00
   2.0579736e+00   1.2279755e+01   7.8452205e+00
   6.8603000e-01   1.3073450e+01   1.0089943e+01
   2.0588561e+00   1.0698776e+01   1.0093351e+01
   6.8603000e-01   1.1486325e+01   1.2373680e+01
   2.0612765e+00   1.3860861e+01   1.2371904e+01
